epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7437,1.8522,4.867,2.1953,0.00223,0.67424,0.08485,0.03394,2.65384,4.46611,2.55964,0.00046676,0.00046676,0.00046676
2,20.9973,1.60792,4.1155,1.97467,0.00159,0.52525,0.11563,0.05081,3.28417,4.80687,2.98139,0.000940783,0.000940783,0.000940783
3,26.3319,1.57371,3.79794,1.96245,0.02408,0.16035,0.01458,0.00386,3.32463,5.34489,3.04811,0.00140523,0.00140523,0.00140523
4,31.4309,1.62719,3.74388,1.93993,0.23253,0.13763,0.09116,0.02098,3.28505,6.46031,3.67323,0.00161749,0.00161749,0.00161749
5,36.6658,1.52643,3.50805,1.90314,0.07736,0.17045,0.04855,0.01057,3.01727,5.19878,2.8086,0.00160099,0.00160099,0.00160099
6,41.7738,1.49906,3.27523,1.94612,0.33953,0.28788,0.16411,0.03079,2.89089,6.42076,2.69776,0.00158448,0.00158448,0.00158448
7,46.8041,1.48057,3.3414,1.9256,0.65588,0.22165,0.24147,0.06831,2.40054,7.00542,2.29514,0.00156798,0.00156798,0.00156798
8,51.9622,1.47652,3.00144,1.92775,0.41415,0.19318,0.16658,0.0314,2.43853,4.95506,2.20799,0.00155148,0.00155148,0.00155148
9,57.1152,1.47038,2.96972,1.9184,0.21851,0.2803,0.12153,0.0272,2.79417,5.11502,2.42387,0.00153497,0.00153497,0.00153497
10,62.1061,1.44141,2.95114,1.86381,0.30139,0.19318,0.13474,0.03485,2.6682,3.966,2.14371,0.00151847,0.00151847,0.00151847
11,67.2454,1.4061,2.81502,1.82429,0.18282,0.20328,0.15476,0.03099,2.74557,3.56077,2.32329,0.00150197,0.00150197,0.00150197
12,72.4481,1.40456,2.73194,1.87748,0.45448,0.28914,0.26578,0.06776,2.44891,3.13863,1.99779,0.00148546,0.00148546,0.00148546
13,77.4083,1.38116,2.63148,1.80991,0.33062,0.34011,0.26049,0.05698,2.48122,3.07697,2.0776,0.00146896,0.00146896,0.00146896
14,82.3995,1.28549,2.44702,1.78974,0.44405,0.29545,0.25715,0.06451,2.32321,3.60931,2.01615,0.00145246,0.00145246,0.00145246
15,87.3801,1.37319,2.55964,1.81346,0.21508,0.38636,0.19916,0.04904,2.35567,3.54498,2.12132,0.00143595,0.00143595,0.00143595
16,92.6014,1.34542,2.54958,1.75159,0.22306,0.3952,0.252,0.06795,2.00008,3.06124,1.74683,0.00141945,0.00141945,0.00141945
17,97.6479,1.34092,2.46365,1.79694,0.21932,0.29235,0.17997,0.04733,2.35141,2.902,2.03482,0.00140295,0.00140295,0.00140295
18,102.569,1.26635,2.36968,1.73339,0.40938,0.20707,0.21053,0.07201,2.13975,2.87912,1.82124,0.00138644,0.00138644,0.00138644
19,107.811,1.23767,2.2701,1.69922,0.43271,0.30217,0.26001,0.09988,2.30022,2.84208,1.95473,0.00136994,0.00136994,0.00136994
20,112.672,1.22339,2.26329,1.70933,0.51272,0.33838,0.30865,0.0746,2.54074,2.9629,2.05305,0.00135344,0.00135344,0.00135344
21,117.914,1.26568,2.28044,1.70856,0.68793,0.3346,0.36056,0.09782,2.17161,2.8036,1.90664,0.00133693,0.00133693,0.00133693
22,123.242,1.27046,2.24777,1.70672,0.588,0.32955,0.35622,0.12924,2.02298,2.67324,1.64178,0.00132043,0.00132043,0.00132043
23,128.4,1.24236,2.23122,1.67509,0.54246,0.32071,0.35609,0.1029,1.92347,2.89249,1.64,0.00130393,0.00130393,0.00130393
24,133.372,1.24616,2.22203,1.67189,0.23629,0.22348,0.15748,0.07467,2.44004,2.98989,2.00942,0.00128742,0.00128742,0.00128742
25,138.471,1.28325,2.28681,1.74628,0.52425,0.34343,0.31018,0.13764,1.8405,2.75551,1.71657,0.00127092,0.00127092,0.00127092
26,143.66,1.21057,2.03841,1.69029,0.408,0.48163,0.36239,0.15528,1.80279,3.15062,1.60687,0.00125442,0.00125442,0.00125442
27,148.643,1.25211,2.20171,1.68757,0.4219,0.31944,0.35741,0.10171,2.06878,2.60811,1.83735,0.00123791,0.00123791,0.00123791
28,153.794,1.15251,2.10217,1.64017,0.41855,0.39394,0.35507,0.10468,2.14951,2.53702,1.8186,0.00122141,0.00122141,0.00122141
29,158.841,1.11619,1.99659,1.62786,0.4452,0.44823,0.36015,0.11929,1.98841,2.57425,1.69413,0.00120491,0.00120491,0.00120491
30,163.694,1.12907,1.97028,1.64488,0.62022,0.36548,0.39292,0.17097,1.86946,2.56883,1.61455,0.0011884,0.0011884,0.0011884
31,169.055,1.03304,1.81946,1.56204,0.84808,0.36076,0.42344,0.14615,2.23942,2.64056,1.90124,0.0011719,0.0011719,0.0011719
