epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5692,1.77427,4.39803,1.53623,0.11066,0.13649,0.06663,0.0337,2.23382,5.16419,2.22363,0.000661064,0.000661064,0.000661064
2,60.5593,1.75527,3.26131,1.5301,0.25659,0.19499,0.14567,0.07145,2.19842,3.46274,2.0482,0.00131459,0.00131459,0.00131459
3,82.5079,1.72057,2.65951,1.52729,0.31117,0.11699,0.09076,0.04096,2.39968,4.52398,2.31832,0.00195491,0.00195491,0.00195491
4,104.987,1.70769,2.20243,1.54027,0.11035,0.17827,0.08437,0.04742,2.16532,3.17849,1.99894,0.0019406,0.0019406,0.0019406
5,126.687,1.66358,1.96307,1.50237,0.20972,0.20334,0.10425,0.05034,2.25149,3.00897,2.09645,0.0019208,0.0019208,0.0019208
6,148.652,1.60949,1.84366,1.47289,0.16534,0.18942,0.09233,0.05305,2.17592,3.30121,2.08229,0.001901,0.001901,0.001901
7,170.043,1.62305,1.72172,1.45222,0.21229,0.11142,0.05431,0.02749,2.21024,3.51177,2.04593,0.0018812,0.0018812,0.0018812
8,191.762,1.54557,1.59536,1.4161,0.16561,0.20613,0.07864,0.031,2.35369,3.37223,2.20356,0.0018614,0.0018614,0.0018614
9,213.315,1.49159,1.48637,1.37723,0.27526,0.08914,0.04831,0.02879,2.18931,4.29701,2.06433,0.0018416,0.0018416,0.0018416
10,234.819,1.47891,1.48709,1.36967,0.2591,0.27855,0.15611,0.07714,2.10977,3.24161,2.07048,0.0018218,0.0018218,0.0018218
11,256.468,1.47785,1.41857,1.36849,0.28509,0.22284,0.12763,0.07519,1.94061,3.15433,1.90288,0.001802,0.001802,0.001802
12,278.167,1.42635,1.34384,1.32997,0.40132,0.33426,0.20968,0.11594,1.90461,2.82088,1.7991,0.0017822,0.0017822,0.0017822
13,299.871,1.38686,1.26586,1.31271,0.5201,0.28076,0.26299,0.15457,1.95914,2.86121,1.88493,0.0017624,0.0017624,0.0017624
14,321.702,1.3775,1.25141,1.29976,0.24871,0.28691,0.11934,0.0603,2.01899,3.34719,1.89702,0.0017426,0.0017426,0.0017426
15,343.314,1.37014,1.23692,1.30462,0.45029,0.32312,0.26478,0.11886,2.05381,2.75028,1.95729,0.0017228,0.0017228,0.0017228
16,364.939,1.30391,1.16276,1.27206,0.31779,0.30641,0.14892,0.0739,2.13746,3.04244,2.0831,0.001703,0.001703,0.001703
17,386.569,1.31404,1.12807,1.261,0.53241,0.35376,0.32311,0.1834,2.01155,2.3461,2.00439,0.0016832,0.0016832,0.0016832
18,408.423,1.23262,1.0771,1.21978,0.38729,0.24234,0.18068,0.10209,1.97647,2.93406,1.93384,0.0016634,0.0016634,0.0016634
19,430.261,1.25757,1.07277,1.23851,0.26258,0.18384,0.14312,0.08553,1.97636,3.39098,1.97213,0.0016436,0.0016436,0.0016436
20,451.576,1.21292,1.04547,1.2041,0.34542,0.18942,0.16198,0.10477,2.01836,3.39781,1.94958,0.0016238,0.0016238,0.0016238
21,473.388,1.28487,1.08038,1.2461,0.23301,0.24234,0.0963,0.05059,2.01907,3.42462,1.97146,0.001604,0.001604,0.001604
22,494.984,1.2278,1.03269,1.22069,0.42491,0.28969,0.20714,0.10788,2.05408,2.90129,1.97138,0.0015842,0.0015842,0.0015842
23,516.743,1.22385,1.01859,1.21987,0.25805,0.29526,0.15067,0.07572,2.12578,3.08563,2.10684,0.0015644,0.0015644,0.0015644
24,538.582,1.20156,0.96618,1.19879,0.34418,0.27298,0.17165,0.08533,2.12368,2.91526,1.98649,0.0015446,0.0015446,0.0015446
25,559.964,1.16343,0.92592,1.18371,0.34161,0.2312,0.15951,0.09196,2.07011,3.28816,2.09852,0.0015248,0.0015248,0.0015248
26,581.81,1.13714,0.93996,1.16809,0.5635,0.30084,0.27018,0.16447,1.88352,2.86314,1.8327,0.001505,0.001505,0.001505
27,603.28,1.13725,0.94837,1.17629,0.47666,0.29526,0.23523,0.11821,2.10435,2.891,1.98225,0.0014852,0.0014852,0.0014852
28,625.006,1.12444,0.89519,1.17083,0.20919,0.10306,0.05514,0.03161,2.31173,4.16759,2.19631,0.0014654,0.0014654,0.0014654
29,646.663,1.10213,0.88069,1.15421,0.33203,0.18663,0.11516,0.05732,2.20198,3.57945,2.15732,0.0014456,0.0014456,0.0014456
30,668.618,1.07428,0.8586,1.12809,0.23556,0.22284,0.09947,0.05638,2.07686,3.55827,2.01418,0.0014258,0.0014258,0.0014258
31,690.235,1.08802,0.84062,1.13126,0.28867,0.2117,0.11523,0.06223,2.0952,3.46652,2.06683,0.001406,0.001406,0.001406
32,711.807,1.07475,0.85708,1.12548,0.3235,0.25905,0.17434,0.09769,2.06641,3.28278,2.07708,0.0013862,0.0013862,0.0013862
33,737.463,1.05217,0.82083,1.11315,0.25906,0.23677,0.16439,0.10053,2.1355,3.37462,2.15174,0.0013664,0.0013664,0.0013664
34,760.23,1.03449,0.82141,1.10568,0.24545,0.24234,0.10834,0.05312,2.2012,3.70906,2.17669,0.0013466,0.0013466,0.0013466
35,782.094,1.05026,0.80742,1.1098,0.19292,0.24234,0.10562,0.05682,2.20399,3.67116,2.11617,0.0013268,0.0013268,0.0013268
36,803.694,1.01319,0.80254,1.11059,0.33331,0.25627,0.19264,0.10195,2.14515,3.06045,2.15933,0.001307,0.001307,0.001307
37,825.057,1.02316,0.78921,1.09483,0.39735,0.27855,0.23342,0.12713,2.24967,3.16935,2.24271,0.0012872,0.0012872,0.0012872
38,846.898,1.00551,0.81559,1.10099,0.19707,0.13092,0.06202,0.03691,2.27645,4.12526,2.2611,0.0012674,0.0012674,0.0012674
39,868.269,1.01297,0.77278,1.0952,0.39779,0.18942,0.14459,0.08384,2.16913,3.51068,2.14142,0.0012476,0.0012476,0.0012476
40,890.227,0.99256,0.75419,1.08741,0.20969,0.21359,0.10371,0.06424,2.14354,3.95329,2.18206,0.0012278,0.0012278,0.0012278
41,911.996,0.9855,0.76528,1.10163,0.29003,0.26741,0.14499,0.08306,2.13616,3.45985,2.04128,0.001208,0.001208,0.001208
42,933.635,0.96496,0.76658,1.07312,0.29924,0.18663,0.10087,0.05434,2.25329,3.72017,2.28552,0.0011882,0.0011882,0.0011882
43,955.207,0.97025,0.75069,1.07907,0.38062,0.2507,0.1581,0.08635,2.1526,3.46796,2.14449,0.0011684,0.0011684,0.0011684
44,977.113,0.95101,0.73125,1.06884,0.21489,0.22563,0.08296,0.04669,2.32049,3.98563,2.28552,0.0011486,0.0011486,0.0011486
45,998.955,0.93746,0.71771,1.06633,0.37444,0.21448,0.16456,0.10053,2.17615,3.60114,2.1564,0.0011288,0.0011288,0.0011288
46,1020.76,0.92788,0.72551,1.05027,0.21608,0.1727,0.09991,0.05937,2.30889,4.20659,2.3213,0.001109,0.001109,0.001109
47,1042.61,0.92556,0.70432,1.04513,0.34964,0.27019,0.20406,0.12243,2.16397,3.30105,2.09347,0.0010892,0.0010892,0.0010892
48,1064.38,0.88927,0.673,1.0385,0.3207,0.30362,0.20171,0.1081,2.17777,3.28368,2.25219,0.0010694,0.0010694,0.0010694
49,1086.04,0.92457,0.70391,1.05644,0.33022,0.25957,0.13647,0.07013,2.17349,3.74713,2.2312,0.0010496,0.0010496,0.0010496
50,1107.77,0.88513,0.67105,1.03149,0.35966,0.22006,0.13862,0.0798,2.0813,3.51879,2.11216,0.0010298,0.0010298,0.0010298
51,1129.76,0.89267,0.67227,1.04356,0.39253,0.32312,0.21779,0.12194,2.06163,3.10835,2.02049,0.00101,0.00101,0.00101
52,1151.58,0.89905,0.67082,1.03159,0.28344,0.27577,0.16358,0.1,2.05877,3.5357,1.99876,0.0009902,0.0009902,0.0009902
53,1173.09,0.86156,0.64903,1.01508,0.32742,0.2312,0.13486,0.07307,2.11117,3.4562,2.10579,0.0009704,0.0009704,0.0009704
54,1194.72,0.86843,0.66528,1.03419,0.35981,0.26615,0.15445,0.0761,2.25154,3.48909,2.32117,0.0009506,0.0009506,0.0009506
55,1216.91,0.85432,0.61919,1.01142,0.39099,0.23398,0.14897,0.08572,2.22492,3.55974,2.14507,0.0009308,0.0009308,0.0009308
56,1238.67,0.83151,0.63395,1.00198,0.26539,0.16435,0.08737,0.05045,2.35979,4.29892,2.36592,0.000911,0.000911,0.000911
57,1260.35,0.87254,0.63003,1.02462,0.4379,0.27298,0.18777,0.10046,2.27578,3.22997,2.29246,0.0008912,0.0008912,0.0008912
58,1282.19,0.84146,0.62837,1.00281,0.32163,0.28134,0.15983,0.08724,2.28624,3.3944,2.28223,0.0008714,0.0008714,0.0008714
59,1303.79,0.82447,0.60461,1.00253,0.37043,0.23398,0.14823,0.08215,2.17857,3.67767,2.29147,0.0008516,0.0008516,0.0008516
60,1325.49,0.81258,0.59226,0.99568,0.33181,0.20891,0.11586,0.06536,2.28482,3.93283,2.23153,0.0008318,0.0008318,0.0008318
61,1346.95,0.80129,0.60236,0.99311,0.26659,0.24098,0.13587,0.06981,2.12274,3.95449,2.19917,0.000812,0.000812,0.000812
62,1369.07,0.7934,0.58166,0.98687,0.22428,0.22308,0.0877,0.04879,2.22398,4.14645,2.2587,0.0007922,0.0007922,0.0007922
63,1390.76,0.78719,0.59499,0.99433,0.36253,0.26741,0.151,0.08354,2.21355,3.6012,2.22406,0.0007724,0.0007724,0.0007724
64,1412.83,0.78192,0.56297,0.9757,0.25216,0.24791,0.11329,0.06377,2.28987,3.91896,2.34961,0.0007526,0.0007526,0.0007526
65,1434.44,0.76715,0.5636,0.97736,0.37474,0.25627,0.16045,0.08202,2.2012,3.60343,2.2589,0.0007328,0.0007328,0.0007328
66,1456.59,0.76325,0.56553,0.97187,0.37633,0.31755,0.20367,0.10123,2.19581,3.29119,2.27614,0.000713,0.000713,0.000713
67,1478.19,0.76311,0.56008,0.97674,0.3059,0.27019,0.13587,0.05995,2.33619,3.76055,2.33496,0.0006932,0.0006932,0.0006932
68,1500.02,0.7509,0.55041,0.97077,0.34703,0.26741,0.1501,0.08119,2.25539,3.68319,2.31441,0.0006734,0.0006734,0.0006734
69,1522,0.75764,0.55791,0.97697,0.38106,0.33957,0.21704,0.11562,2.14885,3.06539,2.26927,0.0006536,0.0006536,0.0006536
70,1543.65,0.75553,0.56228,0.974,0.34581,0.23955,0.14124,0.07462,2.25359,3.89015,2.29625,0.0006338,0.0006338,0.0006338
71,1565.32,0.75218,0.56696,0.98341,0.3891,0.28691,0.18642,0.10008,2.18274,3.31931,2.25888,0.000614,0.000614,0.000614
72,1587.09,0.74201,0.53805,0.96308,0.26882,0.2507,0.12559,0.07055,2.2936,3.92779,2.34216,0.0005942,0.0005942,0.0005942
73,1609.2,0.72573,0.54036,0.95911,0.31888,0.22284,0.15203,0.09612,2.29857,3.92176,2.40648,0.0005744,0.0005744,0.0005744
74,1630.92,0.69669,0.50085,0.94129,0.33847,0.25348,0.17129,0.10032,2.2439,3.6277,2.33714,0.0005546,0.0005546,0.0005546
75,1652.77,0.71311,0.51753,0.95144,0.33099,0.27019,0.18608,0.10992,2.23461,3.59239,2.29904,0.0005348,0.0005348,0.0005348
76,1674.81,0.70567,0.52892,0.95412,0.26471,0.2117,0.12555,0.07402,2.30847,4.20452,2.33636,0.000515,0.000515,0.000515
77,1696.54,0.68931,0.50824,0.94296,0.36817,0.28691,0.1826,0.09322,2.23334,3.65356,2.29837,0.0004952,0.0004952,0.0004952
78,1718.22,0.69004,0.52396,0.93575,0.3741,0.26462,0.1713,0.09308,2.24837,3.77887,2.27036,0.0004754,0.0004754,0.0004754
79,1739.88,0.69221,0.51554,0.94526,0.35035,0.2312,0.14022,0.07104,2.35895,3.8655,2.36479,0.0004556,0.0004556,0.0004556
80,1761.71,0.66693,0.50803,0.93455,0.30178,0.25627,0.13934,0.07702,2.28542,3.77732,2.41589,0.0004358,0.0004358,0.0004358
81,1783.5,0.66785,0.48946,0.93682,0.3215,0.22284,0.13118,0.07338,2.31352,3.93096,2.39092,0.000416,0.000416,0.000416
82,1805.33,0.66384,0.47949,0.92744,0.30761,0.27474,0.14755,0.08031,2.25626,3.72216,2.36821,0.0003962,0.0003962,0.0003962
83,1827.42,0.65895,0.48678,0.93821,0.35384,0.28969,0.15753,0.09419,2.22932,3.57749,2.29843,0.0003764,0.0003764,0.0003764
84,1848.99,0.65388,0.4835,0.92641,0.27696,0.19499,0.10233,0.06059,2.37724,4.23145,2.40599,0.0003566,0.0003566,0.0003566
85,1870.74,0.64227,0.4661,0.92291,0.29187,0.22841,0.11755,0.06804,2.3373,4.05912,2.39919,0.0003368,0.0003368,0.0003368
86,1892.48,0.63554,0.46236,0.92929,0.27178,0.2117,0.12587,0.07647,2.35973,4.18708,2.37317,0.000317,0.000317,0.000317
87,1914.21,0.625,0.46245,0.91849,0.28144,0.26184,0.15398,0.09863,2.34766,3.95162,2.35708,0.0002972,0.0002972,0.0002972
88,1935.84,0.61573,0.44553,0.90596,0.3686,0.25905,0.18047,0.10688,2.2745,3.72805,2.28703,0.0002774,0.0002774,0.0002774
89,1957.78,0.63308,0.46992,0.92955,0.3051,0.24513,0.13855,0.08311,2.26446,3.91525,2.2954,0.0002576,0.0002576,0.0002576
90,1979.88,0.62431,0.44986,0.91764,0.29052,0.18106,0.1157,0.06975,2.33792,4.35505,2.36839,0.0002378,0.0002378,0.0002378
91,2001.73,0.61551,0.42491,0.90979,0.3347,0.26184,0.15791,0.09278,2.3262,3.81691,2.3856,0.000218,0.000218,0.000218
92,2022.62,0.56057,0.39026,0.88144,0.34601,0.21959,0.1365,0.08238,2.36756,4.00765,2.45926,0.0001982,0.0001982,0.0001982
93,2043.34,0.55562,0.39427,0.89287,0.35306,0.27855,0.16312,0.0945,2.23296,3.66629,2.33119,0.0001784,0.0001784,0.0001784
94,2064.49,0.53982,0.38009,0.88561,0.31177,0.25627,0.14919,0.08927,2.29395,3.72273,2.39736,0.0001586,0.0001586,0.0001586
95,2085,0.55396,0.37839,0.89957,0.27371,0.2312,0.1277,0.07749,2.31362,3.99772,2.44358,0.0001388,0.0001388,0.0001388
96,2106.23,0.54337,0.37574,0.89325,0.34224,0.2312,0.14146,0.08394,2.27093,3.91476,2.39329,0.000119,0.000119,0.000119
97,2126.91,0.54621,0.37983,0.87716,0.28809,0.22563,0.1306,0.07554,2.29627,3.99413,2.41389,9.92e-05,9.92e-05,9.92e-05
98,2147.69,0.53697,0.38326,0.88336,0.31611,0.2382,0.14039,0.08344,2.30407,4.01919,2.3919,7.94e-05,7.94e-05,7.94e-05
99,2168.44,0.52149,0.36904,0.88364,0.32018,0.2427,0.15091,0.09023,2.26189,3.92014,2.33907,5.96e-05,5.96e-05,5.96e-05
100,2189.2,0.51984,0.36738,0.88151,0.3452,0.23955,0.14613,0.08839,2.26625,3.93687,2.34349,3.98e-05,3.98e-05,3.98e-05
